iter	RMSE
256	1803.882554
257	1800.983548
258	1798.987025
259	1797.347645
260	1792.308154
261	1789.095961
262	1785.041568
263	1781.828515
264	1779.940223
265	1778.040812
266	1775.549264
267	1773.122786
268	1771.781716
269	1767.122692
270	1765.424346
271	1760.194274
272	1757.023124
273	1754.836515
274	1751.470011
275	1746.291713
276	1742.387334
277	1739.668188
278	1736.978458
279	1735.279192
280	1729.225937
281	1725.54108
282	1724.088419
283	1721.065035
284	1717.489191
285	1713.668417
286	1710.339953
287	1707.69555
288	1704.681839
289	1702.754967
290	1700.428308
291	1698.369014
292	1695.835224
293	1692.647529
294	1691.300689
295	1688.824333
296	1687.005531
297	1683.358479
298	1679.701057
299	1677.856293
300	1676.197006
301	1670.980388
302	1669.575674
303	1668.120946
304	1665.822062
305	1662.011071
306	1659.15056
307	1655.794696
308	1653.330574
309	1651.859373
310	1650.287151
311	1648.156746
312	1644.655044
313	1642.465197
314	1640.410791
315	1638.861255
316	1637.163119
317	1634.098185
318	1632.00562
319	1631.034108
320	1628.024378
321	1625.285511
322	1622.198455
323	1619.369807
324	1617.357284
325	1615.694689
326	1612.60371
327	1610.333021
328	1608.235388
329	1605.68414
330	1602.988008
331	1601.262792
332	1599.019603
333	1597.129227
334	1593.824796
335	1592.252969
336	1590.583131
337	1589.513258
338	1587.793205
339	1586.956894
340	1583.982878
341	1582.148589
342	1580.265694
343	1576.779775
344	1574.650984
345	1573.736722
346	1571.916063
347	1568.709736
348	1565.739155
349	1563.998265
350	1561.302173
351	1559.798733
352	1558.02438
353	1555.78275
354	1552.544917
355	1550.335087
356	1548.344238
357	1546.93167
358	1544.579603
359	1542.282036
360	1540.645105
361	1538.349126
362	1535.26242
363	1534.150247
364	1532.740417
365	1531.550425
366	1530.336645
367	1527.777345
368	1526.317901
369	1523.207843
370	1522.435377
371	1521.047004
372	1519.382847
373	1518.732607
374	1517.291699
375	1514.148562
376	1511.89215
377	1510.597267
378	1507.910869
379	1506.649983
380	1503.642818
381	1502.265225
382	1499.767229
383	1498.449611
384	1496.099982
385	1494.003864
386	1493.214667
387	1491.858066
388	1490.224322
389	1488.696828
390	1485.008413
391	1483.884565
392	1482.336129
393	1479.662762
394	1477.608802
395	1475.714574
396	1473.186495
397	1471.476349
398	1470.03252
399	1468.921842
400	1467.487211
401	1466.81471
402	1465.878936
403	1464.207968
404	1461.880737
405	1459.419101
406	1457.756414
407	1454.929453
408	1453.199892
409	1452.57995
410	1451.504765
411	1449.990335
412	1448.479287
413	1447.55573
414	1445.961069
415	1445.259177
416	1444.004701
417	1441.747403
418	1440.545865
419	1438.535921
420	1436.418778
421	1434.202903
422	1433.334584
423	1432.380457
424	1431.729773
425	1430.111891
426	1428.346918
427	1426.717891
428	1425.850927
429	1424.393195
430	1423.46625
431	1421.479957
432	1420.501732
433	1419.175186
434	1415.707079
435	1414.446831
436	1413.304912
437	1409.808768
438	1409.002084
439	1408.450358
440	1406.927642
441	1406.194946
442	1404.981545
443	1403.218008
444	1401.191125
445	1400.490039
446	1399.947201
447	1398.84599
448	1397.445639
449	1396.804397
450	1395.565166
451	1393.833867
452	1392.608474
453	1390.366512
454	1388.552197
455	1386.031969
456	1384.619141
457	1383.767937
458	1382.08631
459	1380.960228
460	1380.308948
461	1378.452549
462	1377.311249
463	1375.626786
464	1373.903281
465	1373.226554
466	1372.430359
467	1371.641631
468	1370.470598
469	1369.368327
470	1367.843177
471	1366.825436
472	1365.595116
473	1364.754341
474	1361.806257
475	1360.564997
476	1360.085114
477	1358.014291
478	1357.326184
479	1355.64798
480	1354.547515
481	1353.690308
482	1353.022585
483	1351.63481
484	1351.11583
485	1350.071883
486	1348.555491
487	1348.009404
488	1347.000483
489	1345.561418
490	1344.260978
491	1343.241668
492	1340.73614
493	1340.201272
494	1338.550351
495	1335.527765
496	1334.753272
497	1333.737665
498	1332.20737
499	1331.569897
500	1329.80852
501	1327.941044
502	1327.427792
503	1326.013107
504	1324.060824
505	1322.78227
506	1321.723816
507	1320.395469
508	1319.775933
509	1318.893528
510	1317.319334
511	1315.246272
512	1313.848791
513	1313.264342
514	1312.385169
515	1310.306354
516	1309.484812
517	1307.884166
518	1307.369362
519	1305.744723
520	1304.585406
521	1304.21012
522	1303.627089
523	1302.853773
524	1301.456143
525	1299.819631
526	1298.371909
527	1297.118655
528	1295.7928
529	1294.532955
530	1293.750202
531	1291.875895
532	1291.414421
533	1290.354028
534	1288.137232
535	1287.197101
536	1286.397808
537	1285.564772
538	1284.032327
539	1282.977973
540	1282.3239
541	1281.705258
542	1281.05429
543	1280.497764
544	1279.091298
545	1277.984538
546	1277.117624
547	1276.397144
548	1275.79155
549	1274.958891
550	1274.442786
551	1272.80014
552	1271.816049
553	1269.875349
554	1269.146715
555	1267.495595
556	1265.736119
557	1264.196018
558	1262.544076
559	1261.947033
560	1261.12834
561	1260.21276
562	1258.963861
563	1257.970108
564	1257.452936
565	1255.606021
566	1255.06592
567	1254.762048
568	1252.54583
569	1251.671198
570	1250.210662
571	1248.739659
572	1247.345213
573	1246.718554
574	1245.92286
575	1245.547103
576	1245.153756
577	1244.341756
578	1243.509011
579	1242.218141
580	1241.406055
581	1240.953053
582	1239.786911
583	1238.686115
584	1237.848581
585	1236.357973
586	1236.015692
587	1235.482198
588	1234.58986
589	1233.843968
590	1232.574736
591	1231.160382
592	1230.349014
593	1229.766975
594	1229.325972
595	1228.676374
596	1227.464329
597	1226.728405
598	1225.852107
599	1225.336006
600	1223.920083
601	1223.409918
602	1222.764714
603	1221.74317
604	1220.94992
605	1219.36023
606	1218.327979
607	1217.601729
608	1217.144634
609	1216.074279
610	1214.859702
611	1214.477093
612	1213.416062
613	1212.867588
614	1212.087519
615	1211.157588
616	1209.874497
617	1209.377284
618	1208.969756
619	1207.762115
620	1207.362219
621	1206.640675
622	1206.014863
623	1205.139862
624	1204.575396
625	1203.90754
626	1203.066955
627	1202.674271
628	1201.797022
629	1201.029401
630	1200.657111
631	1200.010021
632	1199.253467
633	1198.806661
634	1198.105928
635	1196.797801
636	1196.041088
637	1195.59348
638	1193.894493
639	1193.205994
640	1192.819118
641	1191.698139
642	1190.561017
643	1189.906987
644	1189.396273
645	1188.201591
646	1187.941732
647	1187.47697
648	1186.63241
649	1185.909575
650	1185.238525
651	1184.574209
652	1183.219876
653	1180.874522
654	1180.226304
655	1179.733558
656	1179.194353
657	1177.937739
658	1177.53643
659	1176.555302
660	1175.987216
661	1174.719645
662	1173.510323
663	1172.858796
664	1172.444494
665	1172.113489
666	1171.166519
667	1170.78373
668	1170.052912
669	1169.380128
670	1168.940817
671	1168.118296
672	1167.044263
673	1166.43355
674	1165.464428
675	1164.804544
676	1164.300217
677	1163.829969
678	1163.52507
679	1163.225437
680	1162.545454
681	1161.682243
682	1160.772055
683	1159.794083
684	1159.195419
685	1158.224429
686	1157.837487
687	1156.976873
688	1156.605383
689	1155.996619
690	1155.010403
691	1152.849712
692	1152.316307
693	1151.228862
694	1150.172203
695	1149.505966
696	1148.629666
697	1148.193215
698	1147.807092
699	1147.354215
700	1145.920953
701	1145.289168
702	1144.539799
703	1143.898406
704	1143.108315
705	1142.79823
706	1142.277231
707	1141.969353
708	1141.65743
709	1141.431925
710	1140.866586
711	1140.45553
712	1139.73406
713	1138.925436
714	1137.804307
715	1137.519527
716	1137.004231
717	1136.652805
718	1136.188463
719	1135.430467
720	1135.017948
721	1134.69551
722	1134.000399
723	1133.361854
724	1132.987434
725	1132.406574
726	1131.599469
727	1131.138256
728	1130.870428
729	1130.520154
730	1129.89897
731	1129.405186
732	1128.649117
733	1127.698405
734	1127.126799
735	1126.84788
736	1125.992656
737	1125.438929
738	1124.723933
739	1123.996201
740	1123.530519
741	1123.161081
742	1122.656616
743	1121.911362
744	1121.606723
745	1121.25714
746	1120.727655
747	1119.755543
748	1119.335917
749	1117.457183
750	1116.639806
751	1116.014271
752	1115.149207
753	1114.895683
754	1113.937581
755	1113.542489
756	1113.141036
757	1112.531248
758	1112.169232
759	1111.480336
760	1111.022717
761	1110.531115
762	1109.650669
763	1109.205862
764	1108.689279
765	1108.261822
766	1107.849751
767	1107.480745
768	1106.559436
769	1106.208385
770	1105.581747
771	1104.981371
772	1104.757939
773	1104.216112
774	1103.796784
775	1103.384693
776	1101.873346
777	1101.061661
778	1100.499389
779	1100.04089
780	1099.712649
781	1099.454878
782	1098.958661
783	1098.210852
784	1097.984897
785	1096.988642
786	1095.87489
787	1094.65249
788	1094.187264
789	1093.765672
790	1093.119449
791	1092.045
792	1091.460709
793	1090.688029
794	1090.353528
795	1090.035784
796	1089.217869
797	1088.916551
798	1088.614915
799	1088.218822
800	1087.800686
801	1087.244465
802	1086.893706
803	1086.317609
804	1085.819695
805	1084.782078
806	1084.47956
807	1084.054107
808	1083.849566
809	1083.057493
810	1082.640041
811	1082.138031
812	1081.769395
813	1080.76661
814	1080.153557
815	1079.787206
816	1079.511276
817	1079.127606
818	1078.701056
819	1077.953427
820	1077.515004
821	1076.931096
822	1076.01273
823	1075.529712
824	1075.150938
825	1074.194336
826	1073.640671
827	1073.407957
828	1072.995796
829	1072.76202
830	1072.397732
831	1071.753868
832	1071.130773
833	1070.692855
834	1070.322072
835	1069.549455
836	1068.950665
837	1068.649141
838	1068.319556
839	1068.062743
840	1067.490286
841	1067.079499
842	1066.690401
843	1066.494431
844	1066.095787
845	1065.266756
846	1064.773236
847	1064.23455
848	1063.068963
849	1062.118411
850	1061.449592
851	1061.280761
852	1060.876262
853	1060.207162
854	1059.76903
855	1058.862635
856	1058.420949
857	1057.772325
858	1057.092614
859	1056.508103
860	1056.112843
861	1055.430524
862	1054.756932
863	1054.264506
864	1053.735769
865	1053.374463
866	1052.982143
867	1052.582272
868	1052.010687
869	1051.507825
870	1051.245019
871	1050.938624
872	1050.675264
873	1050.03677
874	1049.833517
875	1049.437024
876	1049.308957
877	1048.956924
878	1048.623984
879	1048.084829
880	1047.900035
881	1047.465127
882	1046.990871
883	1046.39266
884	1046.158272
885	1045.919887
886	1045.466785
887	1045.065024
888	1044.605135
889	1044.318045
890	1044.106085
891	1043.881884
892	1043.632434
893	1043.235818
894	1042.919128
895	1042.461993
896	1042.050216
897	1041.762186
898	1041.19962
899	1040.84091
900	1040.522167
901	1039.893421
902	1039.45897
903	1038.955152
904	1038.65504
905	1038.39371
906	1037.734538
907	1037.026105
908	1036.735563
909	1036.263428
910	1035.702769
911	1035.498435
912	1035.192548
913	1034.904548
914	1034.447572
915	1034.205772
916	1033.919273
917	1032.850705
918	1032.712808
919	1032.412916
920	1032.216248
921	1031.510269
922	1031.183911
923	1030.84586
924	1030.694771
925	1030.320939
926	1029.957124
927	1029.582403
928	1029.196176
929	1028.917149
930	1027.834173
931	1027.49479
932	1027.140667
933	1026.804046
934	1026.295707
935	1026.106847
936	1025.605357
937	1025.063395
938	1024.714775
939	1024.431298
940	1023.967017
941	1023.587111
942	1023.34013
943	1022.553135
944	1022.25956
945	1021.90307
946	1021.593838
947	1021.399842
948	1020.91035
949	1020.584181
950	1020.147979
951	1019.969618
952	1019.769788
953	1019.518467
954	1019.117028
955	1018.919964
956	1018.657973
957	1017.929725
958	1017.735498
959	1017.507712
960	1016.675129
961	1016.22379
962	1016.008624
963	1015.859707
964	1015.454993
965	1015.105276
966	1014.307804
967	1013.953772
968	1013.489748
969	1013.221465
970	1012.888963
971	1012.654804
972	1012.368739
973	1012.203409
974	1011.901706
975	1011.60157
976	1011.310707
977	1011.09322
978	1010.727603
979	1010.544149
980	1010.234218
981	1009.956986
982	1009.364375
983	1009.091376
984	1008.825767
985	1008.510237
986	1008.188305
987	1007.483843
988	1007.322266
989	1006.950404
990	1006.484875
991	1005.963753
992	1005.527375
993	1005.320957
994	1005.178774
995	1004.859919
996	1004.732685
997	1004.291394
998	1003.881034
999	1003.477249
